ID,Nome Fantasia,Atividade,Site,Preco Anterior,Preco Atual,Variacao,Status,Ultima Atualizacao
"SS0479","Locadora Global","13 - Locadora de veículos para turistas","https://www.locadoraglobal.com.br",,,,Aguardando,
"SS0083","Hospedaria Sol do Araçá","03 - Meio de Hospedagem","https://www.soldoaraca.com.br",,,,Aguardando,
"SS0100","Hotel Jota","03 - Meio de Hospedagem","https://www.hoteljota.com",,,,Aguardando,
"SS0144","Miradouro de São Sebastião","03 - Meio de Hospedagem","https://www.miradourohotel.com.br",,,,Aguardando,
"SS0411","Scuba do Dive Adventure Turismo","08 - Empreendimento de Apoio ao Turismo Náutico ou à Pesca Desportiva","https://www.scubadodive.com.br",,,,Aguardando,
"SS0540","Espaço Don Laurindo","12 - Prestador de Infraestrutura de apoio para eventos","https://www.donlaurindo.com",,,,Aguardando,
"SS0107","Hotel Pousada Toque Toque Pequeno LTDA ME (Pousada Aparas)","03 - Meio de Hospedagem","https://www.pousadaaparas.com.br",,,,Aguardando,
"SS0157","Pousada Alapage","03 - Meio de Hospedagem","https://alapa.stays.net/pt/",,,,Aguardando,
"SS0203","Pousada Hybisco","03 - Meio de Hospedagem","https://www.pousadahybisco.com.br",,,,Aguardando,
"SS0234","Pousada Recanto Caiçara Toque-toque pequeno","03 - Meio de Hospedagem","https://recantocaicara.com.br/",,,,Aguardando,
"SS0371","Toque Toque Tur","02 - Agência de Turismo","https://www.toquetoquetur.com",,,,Aguardando,
"SS0374","União Turismo Ecológico (Mako Dive Center)","02 - Agência de Turismo","https://www.makobr.com",,,,Aguardando,
"SS0116","Ilha de Toque Toque Eco Boutique Hotel","03 - Meio de Hospedagem","https://www.ilhadetoquetoque.com.br",,,,Aguardando,
"SS0168","Pousada Bougainville","03 - Meio de Hospedagem","https://www.bougainvilletoquetoque.com.br/",,,,Aguardando,
"SS0595","Alcatrazes Restaurante e Pizzaria","15 - Restaurante cafeteria bar e similares","https://www.restaurantealcatrazes.com.br",,,,Aguardando,
"SS0600","Azzura Pizzas","15 - Restaurante cafeteria bar e similares","https://azzurapizzas.com.br",,,,Aguardando,
"SS0601","Badauê Juquehy","15 - Restaurante cafeteria bar e similares","http://www.restaurantebadaue.com.br/juquehy/",,,,Aguardando,
"SS0485","Alegria no Mar","08 - Empreendimento de Apoio ao Turismo Náutico ou à Pesca Desportiva","https://www.alegrianomar.com.br",,,,Aguardando,
"SS0482","AVESAMAR CONSULTORIA VETERINARIA HOSPEDAGEM TREINAMENTO E DESENVOLVIMENTO DE SERVICOS AMBIENTAIS LTDA (CuatroCinco Guest House)","03 - Meio de Hospedagem","https://www.cuatrocincobr.com",,,,Aguardando,
"SS0602","Badauê Maresias","15 - Restaurante cafeteria bar e similares","http://www.restaurantebadaue.com.br/maresias/",,,,Aguardando,
"SS0383","Passeios Náuticos Litoral","08 - Empreendimento de Apoio ao Turismo Náutico ou à Pesca Desportiva","https://www.passeiolitoral.com.br",,,,Aguardando,
"SS0521","Conhecendo Ilhabela","02 - Agência de Turismo","https://@conhecendo_ilhabela",,,,Aguardando,
"SS0490","Capitão Ximango","08 - Empreendimento de Apoio ao Turismo Náutico ou à Pesca Desportiva","https://www.barcocapitaoximango.com.br",,,,Aguardando,
"SS0514","JD Locadora","13 - Locadora de veículos para turistas","https://www.jdturismo.com.br",,,,Aguardando,
"SS0358","Nacional Ecotur","02 - Agência de Turismo","https://www.nacionalecotur.com.br",,,,Aguardando,
"SS0376","Universo Marinho","02 - Agência de Turismo","https://www.universomarinho.com.br",,,,Aguardando,
"SS0690","Nai Santiago","03 - Meio de Hospedagem","https://www.naisantiago.com.br",,,,Aguardando,
"SS0013","Abricó Beach Hotel","03 - Meio de Hospedagem","https://www.abricobeachhotel.com.br",,,,Aguardando,
